,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
1282,left-center,montrealgazette.com,https://montrealgazette.com,60,778569,Montreal Gazette,86,HIGH,https://mediabiasfactcheck.com/montreal-gazette/,/,https://facebook.com/montrealgazette,https://twitter.com/mtlgazette
1283,center,mtstandard.com,https://mtstandard.com,52,26908,Montana Standard,49,HIGH,https://mediabiasfactcheck.com/montana-standard/,/,https://facebook.com/montanastandard,https://twitter.com/montanastandard
1284,conspiracy,modernalternativemama.com,https://modernalternativemama.com,50,8858,Modern Alternative Mama,39,MIXED,https://mediabiasfactcheck.com/modern-alternative-mama/,/,,https://twitter.com/modernamama
1285,center,morningconsult.com,https://morningconsult.com,55,56399,Morning Consult,52,VERY HIGH,https://mediabiasfactcheck.com/morning-consult/,/,https://facebook.com/morningconsult,https://twitter.com/morningconsult
1286,left-center,themoscowtimes.com,https://themoscowtimes.com,59,47775,Moscow Times,55,HIGH,https://mediabiasfactcheck.com/moscow-times/,/,https://facebook.com/moscowtimes,https://twitter.com/moscowtimes
1287,left-center,motherjones.com,https://motherjones.com,69,2183123,Mother Jones,93,HIGH,https://mediabiasfactcheck.com/mother-jones/,/,https://facebook.com/motherjones,https://twitter.com/motherjones
1288,fake-news,movingleft.com,https://movingleft.com,32,34,Moving Left,18,LOW,https://mediabiasfactcheck.com/moving-left/,/,,
1289,pro-science,mosaicscience.com,https://mosaicscience.com,52,11253,Mosaic,41,HIGH,https://mediabiasfactcheck.com/mosaic/,/,https://facebook.com/mosaicscience,https://twitter.com/mosaicscience
1290,left-center,monthlyreview.org,https://monthlyreview.org,57,454357,Monthy Review,82,HIGH,https://mediabiasfactcheck.com/monthly-review/,/,https://facebook.com/monthly.review.magazine,https://twitter.com/monthly_review
1291,left-center,mnn.com,https://mnn.com,66,572772,Mother Nature Network,78,HIGH,https://mediabiasfactcheck.com/mother-nature-network/,/,https://facebook.com/mothernaturenetwork,https://twitter.com/mothernaturenet
1292,fake-news,myrightamerica.com,https://myrightamerica.com,29,213,My Right American,21,LOW,https://mediabiasfactcheck.com/my-right-american/,/,https://facebook.com/rightamerican,
1293,left-center,muncievoice.com,https://muncievoice.com,31,19397,Muncie Voice,41,HIGH,https://mediabiasfactcheck.com/muncie-voice/,/,https://facebook.com/muncievoice,https://twitter.com/muncievoice
1294,fake-news,mrcblog.com,https://mrcblog.com,26,32143,Mr. Conservative (MRC),34,LOW,https://mediabiasfactcheck.com/mr-conservative-mrc/,/,,
1295,left,nap-sack.org,https://nap-sack.org,22,13,Nap-Sack,15,MIXED,https://mediabiasfactcheck.com/nap-sack/,/,,
1296,right-center,nationalaffairs.com,https://nationalaffairs.com,48,61749,National Affairs,57,HIGH,https://mediabiasfactcheck.com/national-affairs-magazine/,/,https://facebook.com/nataffairs,https://twitter.com/nationalaffairs
1297,left,msnbc.com,https://msnbc.com,73,9472862,MSNBC,99,MOSTLY FACTUAL,https://mediabiasfactcheck.com/msnbc/,/,https://facebook.com/msnbc,https://twitter.com/nbcnews
1298,left-center,msn.com,https://msn.com,82,44615473,MSN.com,100,HIGH,https://mediabiasfactcheck.com/msn-com/,/,https://facebook.com/notifications,
1299,left,msmagazine.com,https://msmagazine.com,59,141934,Ms. (Magazine),67,HIGH,https://mediabiasfactcheck.com/ms-magazine/,/,https://facebook.com/none,https://twitter.com/msmagazine
1300,fake-news,myzonetoday.com,https://myzonetoday.com,20,5,My Zone Today,13,MIXED,https://mediabiasfactcheck.com/myzonetoday/,/,,
1301,conspiracy,muricatoday.com,https://muricatoday.com,25,398,Murica Today,15,MIXED,https://mediabiasfactcheck.com/murica-today/,/,,
1302,pro-science,nationalacademyofsciences.org,https://nationalacademyofsciences.org,33,760,National Academy of Sciences (NAS),27,VERY HIGH,https://mediabiasfactcheck.com/national-academy-of-sciences-nas/,/,https://facebook.com/thenasciences,
1303,left-center,mwcnews.net,https://mwcnews.net,45,551919,MWC News - Media With Conscience,80,HIGH,https://mediabiasfactcheck.com/mwc-news-media-conscience/,/,https://facebook.com/mwcnews,
1304,fake-news,mygoogle.ca,https://mygoogle.ca,11,379,Nation45,13,VERY LOW,https://mediabiasfactcheck.com/nation45/,/,,
1305,pro-science,nasa.gov,https://nasa.gov,81,7466978,NASA,98,VERY HIGH,https://mediabiasfactcheck.com/nasa/,/,https://facebook.com/nasa,https://twitter.com/nasa
1306,left,nationofchange.org,https://nationofchange.org,55,169438,Nation of Change,68,MOSTLY FACTUAL,https://mediabiasfactcheck.com/nation-of-change/,/,https://facebook.com/nationofchange.org,https://twitter.com/nationofchange
1307,center,napavalleyregister.com,https://napavalleyregister.com,55,18402,Napa Valley Register,44,HIGH,https://mediabiasfactcheck.com/napa-valley-register/,/,https://facebook.com/napavalleyregister,https://twitter.com/naparegister
1308,right-center,mynorthwest.com,https://mynorthwest.com,54,197945,MyNorthwest,72,HIGH,https://mediabiasfactcheck.com/mynorthwest/,/,https://facebook.com/mynorthwest,
1309,left-center,naplesnews.com,https://naplesnews.com,61,231255,Naples Daily News,72,HIGH,https://mediabiasfactcheck.com/naples-daily-news/,/,https://facebook.com/naplesnews,https://twitter.com/ndn
1310,left-center,nakedcapitalism.com,https://nakedcapitalism.com,61,1720741,Naked Capitalism,92,HIGH,https://mediabiasfactcheck.com/naked-capitalism/,/,,https://twitter.com/yvessmith
1311,center,nber.org,https://nber.org,67,264261,National Bureau of Economic Research,72,HIGH,https://mediabiasfactcheck.com/national-bureau-of-economic-research-nber/,/,https://facebook.com/none,https://twitter.com/nberpubs
1312,right-center,nationalinterest.org,https://nationalinterest.org,61,393249,National Interest,77,HIGH,https://mediabiasfactcheck.com/national-interest/,/,https://facebook.com/thenatlinterest,
1313,center,nationaljournal.com,https://nationaljournal.com,62,813548,National Journal,87,HIGH,https://mediabiasfactcheck.com/national-journal/,/,https://facebook.com/nationaljournal,https://twitter.com/nationaljournal
1314,left-center,nationalobserver.com,https://nationalobserver.com,50,43336,National Observer,46,HIGH,https://mediabiasfactcheck.com/national-observer-canada/,/,https://facebook.com/nationalobserver,https://twitter.com/natobserver
1315,pro-science,nih.gov,https://nih.gov,81,20575052,National Institutes of Health (NIH),100,HIGH,https://mediabiasfactcheck.com/national-institutes-of-health-nih/,/,https://facebook.com/nih.gov,https://twitter.com/nih
1316,fake-news,nationaleconomicseditorial.com,https://nationaleconomicseditorial.com,35,109,National Economics Editorial,24,LOW,https://mediabiasfactcheck.com/national-economics-editorial/,/,https://facebook.com/nationaleconomicseditorial,https://twitter.com/spmorrison_
1317,left-center,naacp.org,https://naacp.org,64,733977,National Association for the Advancement of Colored People (NAACP),87,HIGH,https://mediabiasfactcheck.com/national-association-advancement-colored-people-naacp/,/,https://facebook.com/naacp,https://twitter.com/naacp
1318,pro-science,ncdc.noaa.gov,https://ncdc.noaa.gov,70,3098911,National Centers for Environmental Information (NCEI),96,VERY HIGH,https://mediabiasfactcheck.com/national-centers-environmental-information-ncei/,/,https://facebook.com/noaanceiclimate,https://twitter.com/noaanceiclimate
1319,fake-news,natall.com,https://natall.com,41,93482,National Alliance,63,VERY LOW,https://mediabiasfactcheck.com/national-alliance/,/,,
1320,fake-news,nationalenquirer.com,https://nationalenquirer.com,61,596961,National Enquirer,84,LOW,https://mediabiasfactcheck.com/national-enquirer/,/,https://facebook.com/thenationalenquirer,https://twitter.com/natenquirer
1321,left-center,natmonitor.com,https://natmonitor.com,39,17483,National Monitor,27,HIGH,https://mediabiasfactcheck.com/leftcenter/national-monitor/,/,https://facebook.com/nationalmonitor,
1322,satire,nationalreport.net,https://nationalreport.net,51,18852,National Report,39,SATIRE,https://mediabiasfactcheck.com/national-report/,/,https://facebook.com/nationalreportonline,
1323,right,nationalcenter.org,https://nationalcenter.org,56,27192,National Center for Public Policy Research,49,MIXED,https://mediabiasfactcheck.com/national-center-public-policy-research-ncppr/,/,https://facebook.com/ncppr,https://twitter.com/nationalcenter
1324,pro-science,noaa.gov,https://noaa.gov,76,21282518,National Oceanic and Atmospheric Admin.,99,VERY HIGH,https://mediabiasfactcheck.com/national-oceanic-and-atmospheric-administration-noaa/,/,https://facebook.com/noaa,https://twitter.com/noaa
1325,right-center,nationalpost.com,https://nationalpost.com,68,1498530,National Post,91,HIGH,https://mediabiasfactcheck.com/national-post/,/,https://facebook.com/nationalpost,https://twitter.com/nationalpost
1326,center,followthemoney.org,https://followthemoney.org,57,305073,National Institute on Money in State Politics,76,HIGH,https://mediabiasfactcheck.com/national-institute-money-state-politics/,/,https://facebook.com/followthemoney.org,https://twitter.com/cfinst_org
1327,left-center,transequality.org,https://transequality.org,57,26067,National Center for Transgender Equality,47,HIGH,https://mediabiasfactcheck.com/national-center-transgender-equality-ncte/,/,https://facebook.com/transequalitynow,https://twitter.com/transequality
1328,left-center,nationalnewswatch.com,https://nationalnewswatch.com,51,80836,National Newswatch,61,HIGH,https://mediabiasfactcheck.com/national-newswatch/,/,,
1329,pro-science,nationalgeographic.com,https://nationalgeographic.com,79,3958648,National Geographic,97,HIGH,https://mediabiasfactcheck.com/national-geographic/,/,,https://twitter.com/natgeo
1330,right,home.nra.org,https://home.nra.org,63,4506998,National Rifle Association,97,MIXED,https://mediabiasfactcheck.com/national-rifle-association-nra/,/,https://facebook.com/nra,https://twitter.com/nra
1331,left-center,nrdc.org,https://nrdc.org,69,462059,Natural Resources Defense Council,82,HIGH,https://mediabiasfactcheck.com/natural-resources-defense-council/,/,https://facebook.com/nrdc.org,https://twitter.com/nrdc
1332,conspiracy,naturalcuresnotmedicine.info,https://naturalcuresnotmedicine.info,17,5,Natural Cures Not Medicine,14,LOW,https://mediabiasfactcheck.com/natural-cures-not-medicine/,/,,
1333,left-center,resourcegovernance.org,https://resourcegovernance.org,45,283312,Natural Resource Governance Institute,77,HIGH,https://mediabiasfactcheck.com/natural-resource-governance-institute/,/,https://facebook.com/nrginstitute,https://twitter.com/nrginstitute
1334,fake-news,indigenous.club,https://indigenous.club,15,10,Native Americans,11,VERY LOW,https://mediabiasfactcheck.com/native-americans/,/,,
1335,right,nationalreview.com,https://nationalreview.com,70,3922194,National Review,96,MOSTLY FACTUAL,https://mediabiasfactcheck.com/national-review/,/,https://facebook.com/nationalreview,https://twitter.com/nro
1336,left-center,nature.org,https://nature.org,68,835444,Nature Conservancy,84,HIGH,https://mediabiasfactcheck.com/nature-conservancy/,/,https://facebook.com/thenatureconservancy,https://twitter.com/nature_org
1337,conspiracy,nvic.org,https://nvic.org,58,1632892,National Vaccine Information Institute,92,LOW,https://mediabiasfactcheck.com/national-vaccine-information-center-nvic/,/,https://facebook.com/national.vaccine.information.center,https://twitter.com/nvicloedown
1338,fake-news,nationalvanguard.org,https://nationalvanguard.org,49,89227,National Vanguard,59,VERY LOW,https://mediabiasfactcheck.com/national-vanguard/,/,,
1339,conspiracy,naturalawakeningsmag.com,https://naturalawakeningsmag.com,50,6955,Natural Awakenings Magazine,38,MIXED,https://mediabiasfactcheck.com/natural-awakenings-magazine/,/,https://facebook.com/naturalawakeningsmagazine,
1340,conspiracy,naturalcures.com,https://naturalcures.com,42,2173,Natural Cures,31,MIXED,https://mediabiasfactcheck.com/natural-cures/,/,https://facebook.com/naturalcuresinc,
1341,fake-news,powerofnative.com,https://powerofnative.com,20,5,Native American News,13,VERY LOW,https://mediabiasfactcheck.com/native-american-news/,/,https://facebook.com/jegtheme,
1342,pro-science,nature.com,https://nature.com,77,3156965,Nature,95,VERY HIGH,https://mediabiasfactcheck.com/nature/,/,https://facebook.com/naturenews,https://twitter.com/nresearchnews
1343,left-center,youthrights.org,https://youthrights.org,48,7774,National Youth Right Association,38,HIGH,https://mediabiasfactcheck.com/national-youth-rights-association/,/,https://facebook.com/youthrights,
1344,center,nationmaster.com,https://nationmaster.com,63,746239,NationMaster,80,VERY HIGH,https://mediabiasfactcheck.com/nationmaster/,/,https://facebook.com/none,https://twitter.com/nationmaster
1345,conspiracy,naturalmedicineteam.com,https://naturalmedicineteam.com,30,60,Natural Medicine Team,21,MIXED,https://mediabiasfactcheck.com/natural-medicine-team/,/,,
1346,conspiracy,naturallysavvy.com,https://naturallysavvy.com,49,66681,Naturally Savvy,58,MIXED,https://mediabiasfactcheck.com/naturally-savvy/,/,https://facebook.com/naturallysavvy,https://twitter.com/naturallysavvy
1347,conspiracy,naturalhealth365.com,https://naturalhealth365.com,54,30634,Natural Health 365,42,MIXED,https://mediabiasfactcheck.com/natural-health-365/,/,https://facebook.com/naturalhealth365com,https://twitter.com/thehealthguy
1348,conspiracy,naturalnews.com,https://naturalnews.com,68,1055353,Natural News,85,LOW,https://mediabiasfactcheck.com/natural-news/,/,,https://twitter.com/healthranger
1349,conspiracy,naturalsociety.com,https://naturalsociety.com,56,391769,Natural Society,81,MIXED,https://mediabiasfactcheck.com/natural-society/,/,https://facebook.com/naturalsociety,https://twitter.com/naturalsociety
1350,fake-news,nevo.news,https://nevo.news,26,51,Nevo News,19,LOW,https://mediabiasfactcheck.com/nevo-news/,/,,
1351,left-center,nbcnews.com,https://nbcnews.com,75,5014998,NBC News,97,HIGH,https://mediabiasfactcheck.com/nbc-news/,/,https://facebook.com/nbcnews,https://twitter.com/nbcnews
1352,conspiracy,needtoknow.news,https://needtoknow.news,43,209042,Need to Know,73,LOW,https://mediabiasfactcheck.com/need-to-know/,/,https://facebook.com/gedwardgriffin,https://twitter.com/need2knowdigest
1353,right-center,nos.nl,https://nos.nl,63,674159,Netherlands Radio and Television Association,83,HIGH,https://mediabiasfactcheck.com/netherlands-radio-and-television-association-nos/,/,https://facebook.com/nos,https://twitter.com/nos
1354,center,newbernsj.com,https://newbernsj.com,53,48607,New Bern Sun Journal,44,HIGH,https://mediabiasfactcheck.com/new-bern-sun-journal/,/,https://facebook.com/newbernsunjournal,https://twitter.com/nbsunjournal
1355,pro-science,neurosciencenews.com,https://neurosciencenews.com,52,127448,Neuroscience News,53,HIGH,https://mediabiasfactcheck.com/neuroscience-news/,/,https://facebook.com/neurosciencenews,https://twitter.com/neurosciencenew
1356,left-center,ncpolicywatch.com,https://ncpolicywatch.com,46,82357,NC Policy Watch,56,HIGH,https://mediabiasfactcheck.com/nc-policy-watch/,/,https://facebook.com/ncpolicywatch,https://twitter.com/ncpolicywatch
1357,center,newamerica.org,https://newamerica.org,58,424067,New America Foundation,81,HIGH,https://mediabiasfactcheck.com/new-america/,/,https://facebook.com/newamerica,https://twitter.com/newamerica
1358,conspiracy,neonnettle.com,https://neonnettle.com,47,488943,Neon Nettle,53,LOW,https://mediabiasfactcheck.com/neon-nettle/,/,https://facebook.com/neonnettle,https://twitter.com/neonnettle
1359,right,newbostonpost.com,https://newbostonpost.com,43,16818,New Boston Post,35,MIXED,https://mediabiasfactcheck.com/new-boston-post/,/,https://facebook.com/newbostonpost,https://twitter.com/newbostonpost
1360,conspiracy,newamericannews.com,https://newamericannews.com,26,40,New American News,17,MIXED,https://mediabiasfactcheck.com/new-american-news/,/,https://facebook.com/newamericannews,
1361,fake-news,neverrepublican.com,https://neverrepublican.com,18,329,NeverRepublican.com,17,LOW,https://mediabiasfactcheck.com/neverrepublican-com/,/,https://facebook.com/neverrepublican,
1362,pro-science,nautil.us,https://nautil.us,58,96797,Nautilus Magazine,63,VERY HIGH,https://mediabiasfactcheck.com/nautilus-magazine/,/,https://facebook.com/nautilusmag,https://twitter.com/nautilusmag
1363,center,theneed2know.com,https://theneed2know.com,33,4379,Need2Know,29,HIGH,https://mediabiasfactcheck.com/need-2-know/,/,,
1364,pro-science,newatlas.com,https://newatlas.com,59,527870,New Atlas,82,HIGH,https://mediabiasfactcheck.com/new-atlas/,/,https://facebook.com/nwtls,https://twitter.com/nwtls
1365,left-center,ndtv.com,https://ndtv.com,69,4559981,NDTV,95,MIXED,https://mediabiasfactcheck.com/ndtv/,/,https://facebook.com/ndtv,https://twitter.com/ndtv
1366,fake-news,newcenturytimes.com,https://newcenturytimes.com,33,5293,New Century Times,36,LOW,https://mediabiasfactcheck.com/new-century-times/,/,https://facebook.com/newcenturytimes,
1367,satire,ncscooper.com,https://ncscooper.com,37,52905,Nevada County Scooper,57,SATIRE,https://mediabiasfactcheck.com/nevada-county-scooper/,/,,
1368,left-center,necn.com,https://necn.com,59,155147,New England Cable News (NECN),52,HIGH,https://mediabiasfactcheck.com/new-england-cable-news-necn/,/,https://facebook.com/necntv,https://twitter.com/necn
1369,fake-news,newnation.org,https://newnation.org,45,281728,New Nation News,77,VERY LOW,https://mediabiasfactcheck.com/new-nation-news/,/,https://www.facebook.com/photo.php?fbid,
1370,left,newstatesman.com,https://newstatesman.com,65,299493,New Statesman,77,HIGH,https://mediabiasfactcheck.com/new-statesman/,/,https://facebook.com/newstatesman,https://twitter.com/newstatesman
1371,right-center,observer.com,https://observer.com,64,1320766,New York Observer,89,HIGH,https://mediabiasfactcheck.com/new-york-observer/,/,https://facebook.com/observer,https://twitter.com/observer
1372,pro-science,newscientist.com,https://newscientist.com,73,7641073,New Scientist,98,HIGH,https://mediabiasfactcheck.com/new-scientist/,/,https://facebook.com/newscientist,https://twitter.com/newscientist
1373,left,newint.org,https://newint.org,55,1179744,New Internationalist,90,HIGH,https://mediabiasfactcheck.com/new-internationalist/,/,https://facebook.com/newint,https://twitter.com/newint
1374,left,nymag.com,https://nymag.com,72,7128454,New York Magazine,96,HIGH,https://mediabiasfactcheck.com/new-york-magazine/,/,,https://twitter.com/nymag
1375,pro-science,newhumanist.org.uk,https://newhumanist.org.uk,50,63677,New Humanist,58,HIGH,https://mediabiasfactcheck.com/new-humanist/,/,https://facebook.com/newhumanist,https://twitter.com/newhumanist
1376,pro-science,theness.com,https://theness.com,54,13161,New England Skeptical Society,42,HIGH,https://mediabiasfactcheck.com/new-england-skeptical-society/,/,,
1377,left,amsterdamnews.com,https://amsterdamnews.com,49,143968,New York Amsterdam News,44,HIGH,https://mediabiasfactcheck.com/new-york-amsterdam-news/,/,,
1378,fake-news,newpoliticstoday.com,https://newpoliticstoday.com,20,2572,New Politics Today,33,LOW,https://mediabiasfactcheck.com/new-politics-today/,/,,
1379,left,newpol.org,https://newpol.org,44,76211,New Politics Magazine,60,HIGH,https://mediabiasfactcheck.com/new-politics-magazine/,/,https://facebook.com/newpoliticsmag,https://twitter.com/newpoliticsmag
1380,left-center,nydailynews.com,https://nydailynews.com,74,3686344,New York Daily News,94,MIXED,https://mediabiasfactcheck.com/new-york-daily-news/,/,https://facebook.com/nydailynews,https://twitter.com/nydailynews
1381,left,newleftreview.org,https://newleftreview.org,53,273564,New Left Review,75,HIGH,https://mediabiasfactcheck.com/new-left-review/,/,,https://twitter.com/newleftreview
1382,right,newrevolutionnow.org,https://newrevolutionnow.org,26,162,New Revolution Now,24,HIGH,https://mediabiasfactcheck.com/new-revolution-now/,/,,
1383,left-center,newmatilda.com,https://newmatilda.com,52,267181,New Matilda,74,HIGH,https://mediabiasfactcheck.com/new-matilda/,/,,https://twitter.com/newmatilda
1384,left-center,neweurope.eu,https://neweurope.eu,49,140898,New Europe,49,VERY HIGH,https://mediabiasfactcheck.com/new-europe/,/,https://facebook.com/neweurope,https://twitter.com/new_europe
1385,left-center,newmoderate.com,https://newmoderate.com,32,27297,New Moderate,49,HIGH,https://mediabiasfactcheck.com/new-moderate/,/,https://www.facebook.com/group.php?gid,
1386,satire,newromantimes.com,https://newromantimes.com,26,31,New Roman Times,19,SATIRE,https://mediabiasfactcheck.com/new-roman-times/,/,https://facebook.com/new,
1387,left,newrepublic.com,https://newrepublic.com,61,1672937,New Republic,91,HIGH,https://mediabiasfactcheck.com/new-republic/,/,https://facebook.com/newrepublic,https://twitter.com/newrepublic
1388,fake-news,newsprocession.com,https://newsprocession.com,14,273,News Procession,13,MIXED,https://mediabiasfactcheck.com/news-procession/,/,https://facebook.com/newsprocession,
1389,fake-news,newsfeedhunter.com,https://newsfeedhunter.com,27,65,News Feed Hunter,22,LOW,https://mediabiasfactcheck.com/news-feed-hunter/,/,,
1390,left-center,kfor.com,https://kfor.com,57,206116,News Channel 4 (KFOR.com),59,HIGH,https://mediabiasfactcheck.com/news-channel-4-kfor-com/,/,https://facebook.com/kfor4,https://twitter.com/kfor
1391,left-center,nytimes.com,https://nytimes.com,87,24317383,New York Times,100,HIGH,https://mediabiasfactcheck.com/new-york-times/,/,,
1392,center,nzherald.co.nz,https://nzherald.co.nz,69,2229449,New Zealand Herald,88,HIGH,https://mediabiasfactcheck.com/new-zealand-herald/,/,https://facebook.com/nzherald.co.nz,https://twitter.com/nzherald
1393,right-center,newsheist.com,https://newsheist.com,24,56,News Heist,19,MIXED,https://mediabiasfactcheck.com/news-heist/,/,,
1394,left,newyorker.com,https://newyorker.com,76,3270734,New Yorker,95,HIGH,https://mediabiasfactcheck.com/new-yorker/,/,https://facebook.com/newyorker,https://twitter.com/newyorker
1395,satire,newsmutiny.com,https://newsmutiny.com,34,5196,News Mutiny,36,SATIRE,https://mediabiasfactcheck.com/news-mutiny/,/,,
1396,fake-news,newsconservative.com,https://newsconservative.com,16,4,News Conservative,14,VERY LOW,https://mediabiasfactcheck.com/news-conservative/,/,,
1397,center,newslookup.com,https://newslookup.com,49,87732,News Lookup,60,VERY HIGH,https://mediabiasfactcheck.com/news-lookup/,/,,
1398,right-center,nypost.com,https://nypost.com,72,7322756,New York Post,98,MIXED,https://mediabiasfactcheck.com/new-york-post/,/,https://facebook.com/nypost,https://twitter.com/nypost
1399,conspiracy,newsinsideout.com,https://newsinsideout.com,40,18787,News Inside Out,44,MIXED,https://mediabiasfactcheck.com/newsinsideout-com/,/,https://facebook.com/truetubenews,https://twitter.com/newsinsideout
1400,fake-news,newsblaze.com,https://newsblaze.com,55,127443,News Blaze,59,MIXED,https://mediabiasfactcheck.com/news-blaze/,/,https://facebook.com/newsblaze,https://twitter.com/newsblaze
1401,left-center,newsandguts.com,https://newsandguts.com/,37,6685,News and Guts,37,MOSTLY FACTUAL,https://mediabiasfactcheck.com/news-and-guts/,/,https://facebook.com/newsandguts,https://twitter.com/danrather
1402,left-center,newsdeeply.com,https://newsdeeply.com,50,74853,News Deeply,40,HIGH,https://mediabiasfactcheck.com/news-deeply/,/,,
1403,fake-news,newsandstoriesfromusa.com,https://newsandstoriesfromusa.com,12,288,News and Stories from USA,11,LOW,https://mediabiasfactcheck.com/news-stories-usa/,/,,
1404,left,newscorpse.com,https://newscorpse.com,41,12422,News Corpse,42,MIXED,https://mediabiasfactcheck.com/news-corpse/,/,https://facebook.com/newscorpse,https://twitter.com/newscorpse
1405,satire,newsbiscuit.com,https://newsbiscuit.com,53,103079,News biscuit,54,SATIRE,https://mediabiasfactcheck.com/news-biscuit/,/,https://facebook.com/none,
1406,left,newshounds.us,https://newshounds.us,56,722291,News Hounds,86,MIXED,https://mediabiasfactcheck.com/newshounds/,/,https://facebook.com/newshounds.us,https://twitter.com/newshounds
1407,fake-news,newswithviews.com,https://newswithviews.com,57,266582,News with Views,75,LOW,https://mediabiasfactcheck.com/news-with-views/,/,https://facebook.com/newswithviews,https://twitter.com/newswithviews
1408,satire,newsthump.com,https://newsthump.com,49,34377,News Thump,51,SATIRE,https://mediabiasfactcheck.com/news-thump/,/,https://facebook.com/newsthump,
1409,fake-news,newsuptoday.com,https://newsuptoday.com,22,32,News Up Today,18,LOW,https://mediabiasfactcheck.com/news-up-today/,/,,
1410,right-center,newsrescue.com,https://newsrescue.com,43,32430,News Rescue,36,HIGH,https://mediabiasfactcheck.com/news-rescue/,/,https://facebook.com/newsrescuemedia,https://twitter.com/newsrescue
1411,fake-news,newsammo.com,https://newsammo.com,24,4177,NewsAmmo,35,MIXED,https://mediabiasfactcheck.com/newsammo/,/,,
1412,left-center,newsgru.com,https://newsgru.com,29,6700,NewsGru,14,MIXED,https://mediabiasfactcheck.com/newsgru/,/,https://facebook.com/newsgru,
1413,left-center,newser.com,https://newser.com,61,573006,Newser,75,HIGH,https://mediabiasfactcheck.com/newser/,/,https://facebook.com/newser?fref,
1414,fake-news,newsbreakshere.com,https://newsbreakshere.com,25,196,NewsBreaksHere,24,LOW,https://mediabiasfactcheck.com/newsbreakshere/,/,,
1415,right-center,news.com.au,https://news.com.au,72,13230362,News.com.au,99,MOSTLY FACTUAL,https://mediabiasfactcheck.com/news-com-au/,/,https://facebook.com/news.com.au,https://twitter.com/newscomauhq
1416,right,newsbusters.org,https://newsbusters.org,61,2542784,Newsbusters,94,MIXED,https://mediabiasfactcheck.com/newsbusters/,/,https://facebook.com/newsbusters,https://twitter.com/newsbusters
1417,right-center,newsline.com,https://newsline.com,40,54826,Newsline,54,MIXED,https://mediabiasfactcheck.com/newsline/,/,,
1418,fake-news,newspunch.com,https://newspunch.com,46,78030,News Punch,55,VERY LOW,https://mediabiasfactcheck.com/news-punch/,/,https://facebook.com/thepeoplesvoicetv,https://twitter.com/yournewswire
1419,center,newsela.com,https://newsela.com,61,244536,Newsela,74,HIGH,https://mediabiasfactcheck.com/newsela/,/,https://facebook.com/newsela,https://twitter.com/newsela
1420,center,newsguardtech.com,https://newsguardtech.com,47,16397,Newsguard,44,HIGH,https://mediabiasfactcheck.com/newsguard/,/,https://facebook.com/newsguardtech,https://twitter.com/newsguardrating
1421,conspiracy,newsbud.com,https://newsbud.com,45,383883,Newsbud,80,MIXED,https://mediabiasfactcheck.com/newsbud/,/,https://facebook.com/none,https://twitter.com/newsbud_
1422,conspiracy,newstarget.com,https://newstarget.com,54,178937,News Target,69,LOW,https://mediabiasfactcheck.com/news-target/,/,,
1423,center,news24.com,https://news24.com,64,2103645,News24 (South Africa),90,HIGH,https://mediabiasfactcheck.com/news24-south-africa/,/,https://facebook.com/none,https://twitter.com/news24
1424,right-center,news-gazette.com,https://news-gazette.com,58,180891,News-Gazette,71,HIGH,https://mediabiasfactcheck.com/news-gazette/,/,https://facebook.com/newsgazette,https://twitter.com/news_gazette
1425,left-center,newsday.com,https://newsday.com,70,2151175,Newsday,92,HIGH,https://mediabiasfactcheck.com/newsday/,/,,https://twitter.com/newsday
1426,fake-news,en.newsner.com,https://en.newsner.com,48,82170,Newsner,28,VERY LOW,https://mediabiasfactcheck.com/newsner/,/,,
1427,center,nknews.org,https://nknews.org,57,74736,NK News,59,HIGH,https://mediabiasfactcheck.com/nk-news/,/,https://facebook.com/nknewsorg,https://twitter.com/nknewsorg
1428,center,www3.nhk.or.jp,https://www3.nhk.or.jp,65,54121,NHK World,56,HIGH,https://mediabiasfactcheck.com/nhk-world/,/,,https://twitter.com/nhk
1429,pro-science,nextbigfuture.com,https://nextbigfuture.com,56,677128,Next Big Future,84,HIGH,https://mediabiasfactcheck.com/next-big-future/,/,https://facebook.com/nextbigfuture,
1430,left,newsweek.com,https://newsweek.com,74,4019228,Newsweek,97,MIXED,https://mediabiasfactcheck.com/newsweek/,/,https://facebook.com/newsweek,
1431,center,newsnow.co.uk,https://newsnow.co.uk,59,1945353,NewsNow UK,66,HIGH,https://mediabiasfactcheck.com/newsnow-uk/,/,,
1432,left,newsone.com,https://newsone.com,56,156933,NewsOne,62,MOSTLY FACTUAL,https://mediabiasfactcheck.com/newsone/,/,https://facebook.com/newsoneofficial,https://twitter.com/newsone
1433,center,nolabels.org,https://nolabels.org,52,27623,No Labels,49,HIGH,https://mediabiasfactcheck.com/no-labels/,/,https://facebook.com/nolabels,
1434,fake-news,newswars.com,https://newswars.com,46,76601,NewsWars,61,LOW,https://mediabiasfactcheck.com/newswars/,/,,
1435,center,niskanencenter.org,https://niskanencenter.org,48,14157,Niskanen Center,43,HIGH,https://mediabiasfactcheck.com/niskanen-center/,/,https://facebook.com/niskanencenter,
1436,conspiracy,nodisinfo.com,https://nodisinfo.com,44,4436,NoDisInfo,35,LOW,https://mediabiasfactcheck.com/nodisinfo/,/,,
